"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","Consent","Consent2","Q01[SQ001]","Q02","Q02[other]","G02Q40","G02Q41","Q03","Q04","Q05","Q06","Q07","Q07[other]","Q08","Q09","Q09[other]","Q010p","Q010p[other]","Q010[SQ001]","Q010[SQ002]","Q010[SQ003]","Q010[other]","Q011[SQ002]","Q011[SQ003]","Q011[SQ004]","Q011[SQ005]","Q011[SQ006]","Q010np","Q011np[SQ001]","Q012np","Q013p[SQ001]","Q014[SQ001]","Q014[SQ002]","Q015[SQ002]","Q015[SQ003]","Q015[SQ004]","Q015[SQ005]","Q015[SQ006]","Q015[SQ007]","Q015[SQ008]","Q015[SQ009]","Q015[SQ010]","OSQ01[SQ001]","OSQ03[SQ001]","OSQ02","OSQ04[SQ001]","OSQ04[SQ002]","OSQ04[SQ003]","OSQ04[SQ004]","OSQ04[SQ005]","OSQ04[SQ006]","OSQ04[SQ007]","OSQ04[SQ008]","OSQ05[SQ001]","OSQ05[SQ002]","OSQ05[SQ003]","OSQ05[SQ004]","OSQ05[SQ005]","OSQ05[SQ006]","OSQ05[SQ007]","OSQ05[SQ008]","OSQ05[SQ009]","OSQ05[SQ010]","OSQ05[SQ011]","OSQ05[SQ012]","OSQ05[SQ013]","OSQ05[SQ014]","OSQ05[other]","SSQ01[SQ001]","SSQ03[SQ001]","SSQ02","SSQ04[SQ002]","SSQ04[SQ003]","SSQ04[SQ004]","SSQ04[SQ005]","SSQ04[SQ006]","SSQ04[SQ007]","SSQ04[other]","SSQ05[SQ001_SQ002]","SSQ05[SQ001_SQ003]","SSQ05[SQ001_SQ004]","SSQ05[SQ002_SQ002]","SSQ05[SQ002_SQ003]","SSQ05[SQ002_SQ004]","SSQ05[SQ003_SQ002]","SSQ05[SQ003_SQ003]","SSQ05[SQ003_SQ004]","SSQ05[SQ004_SQ002]","SSQ05[SQ004_SQ003]","SSQ05[SQ004_SQ004]","SSQ05[SQ005_SQ002]","SSQ05[SQ005_SQ003]","SSQ05[SQ005_SQ004]","SSQ05[SQ006_SQ002]","SSQ05[SQ006_SQ003]","SSQ05[SQ006_SQ004]","SSQ05[SQ007_SQ002]","SSQ05[SQ007_SQ003]","SSQ05[SQ007_SQ004]","SSQ05[SQ008_SQ002]","SSQ05[SQ008_SQ003]","SSQ05[SQ008_SQ004]","GSQ01[SQ001]","GSQ02[SQ001]","GSQ03[SQ001]","GSQ04[SQ001]","GSQ05[SQ001]","GSQ06[SQ001]","ESQ01[SQ001]","ESQ02[SQ001]","WBQ01[SQ001]","WBQ01[SQ003]","WBQ01[SQ004]","WBQ01[SQ005]","WBQ01[SQ006]","interviewtime","groupTime831","ConsentTime","Consent2Time","groupTime825","Q01Time","Q02Time","G02Q40Time","G02Q41Time","Q03Time","Q04Time","Q05Time","Q06Time","Q07Time","Q08Time","Q09Time","Q010pTime","Q010Time","Q011Time","Q010npTime","Q011npTime","Q012npTime","Q013pTime","Q014Time","Q015Time","groupTime826","OSQ01Time","OSQ03Time","OSQ02Time","OSQ04Time","OSQ05Time","groupTime827","SSQ01Time","SSQ03Time","SSQ02Time","SSQ04Time","SSQ05Time","groupTime828","GSQ01Time","GSQ02Time","GSQ03Time","GSQ04Time","GSQ05Time","GSQ06Time","groupTime829","ESQ01Time","ESQ02Time","groupTime830","WBQ01Time"
"244","2025-03-26 09:58:06","7","en","455620218","2025-03-26 09:48:19","2025-03-26 09:58:06","Yes, I am involved in research","Yes, I agree to participate in the study","42","Female","","I have no children",,"France","Université Côte d'Azur","Social Sciences & Humanities","Cognitive science","PhD","","2007","Permanent position","","Associate Professor/Senior Lecturer/Maître de conférences or Chargé de recherche with Habilitation à diriger des recherches","","No","No","Yes","","20","45","30","5","0",,,"Yes","34","20","86","No","No","Yes","Yes","No","Yes","No","No","No","86","100","No","I haven't used it yet, but I plan to do it in the future","I haven't used it yet, but I plan to do it in the future","I haven't used it yet, but I plan to do it in the future","I haven't used it yet, but I plan to do it in the future","I know it and I used it","I haven't used it yet, but I plan to do it in the future","I haven't used it yet, but I plan to do it in the future","I haven't used it yet, but I plan to do it in the future","No","No","Yes","No","Yes","No","No","No","Yes","No","No","No","No","No","","66","94","No","Yes","No","Yes","Yes","No","No","","1","","","1","","","1","1","","1","1","","1","1","","1","","","1","1","","","1","","36","76","0","60","81","90","15","100","90","90","22","45","10","590","14.64",,,"201.46",,,,,,,,,,,,,,,,,,,,,"100.28",,,,,,"209.1",,,,,,"30.76",,,,,,,"12.81",,,"20.95",
"245","2025-03-26 15:21:08","7","en","1383504196","2025-03-26 15:14:59","2025-03-26 15:21:08","Yes, I am involved in research","Yes, I agree to participate in the study","37","Female","","I have no children",,"England","Sussex","Social Sciences & Humanities","Psychology ","PhD","","2015","Permanent position","","Assistant Professor/Lecturer/Maître de conférences or Chargé de recherche","","No","No","Yes","","40","45","10","3","2",,,"Yes","87","38","58","No","Yes","No","Yes","No","Yes","No","No","No","100","54","Yes","I know it and I used it","I haven't used it yet, but I plan to do it in the future","I know it and I used it","I know it and I used it","I haven't used it yet, but I plan to do it in the future","I know it and I used it","I haven't used it yet, and I don't plan to do it in the future","I haven't used it yet, but I plan to do it in the future","No","No","No","No","No","No","No","No","No","Yes","No","No","No","Yes","To be honest, probably less people going on about it all the time would help. Feels like the goal posts for what is 'good' open science is always moving and it's being made more and more inaccessible ","100","100","No","No","No","Yes","No","Yes","Yes","","","","1","","","1","","","1","","","1","","1","","1","1","","1","","","1","1","","70","30","0","60","60","100","95","71","81","81","27","82","65","372.3","25.65",,,"118.87",,,,,,,,,,,,,,,,,,,,,"103.49",,,,,,"61.81",,,,,,"33.94",,,,,,,"11.5",,,"17.04",
"249","2025-03-27 08:28:23","7","en","1899535118","2025-03-27 08:18:10","2025-03-27 08:28:23","Yes, I am involved in research","Yes, I agree to participate in the study","46","Female","","3","Between 1 year and 2 years","France","CNRS ","Social Sciences & Humanities","L’antiâge sciences","PhD","","2005","Permanent position","","Assistant Professor/Lecturer/Maître de conférences or Chargé de recherche","","No","Yes","No","","60","10","10","15","5",,,"Yes","0","16","80","Yes","No","No","No","No","No","Yes","No","Yes","70","100","No","I haven't used it yet, but I plan to do it in the future","I haven't used it yet, but I plan to do it in the future","I haven't used it yet, but I plan to do it in the future","I haven't used it yet, but I plan to do it in the future","I am not familiar with it","I know it and I used it","I haven't used it yet, but I plan to do it in the future","I know it and I used it","No","No","Yes","Yes","No","No","Yes","No","Yes","No","Yes","No","No","No","","0","0","No","Yes","No","No","Yes","Yes","No","","1","1","","","","1","1","1","","1","1","","1","1","","1","1","","","1","","1","1","","90","91","80","100","100","100","100","100","40","80","20","60","100","615.86","18.16",,,"235.28",,,,,,,,,,,,,,,,,,,,,"151.41",,,,,,"101.42",,,,,,"52.65",,,,,,,"15.22",,,"41.72",
"250","2025-03-27 08:56:28","7","en","2062842781","2025-03-27 08:43:49","2025-03-27 08:56:28","Yes, I am involved in research","Yes, I agree to participate in the study","35","Male","","1","Between 1 month and 3 months","France","","Physical Sciences & Engineering","PE6_11","PhD","","2012","Permanent position","","Assistant Professor/Lecturer/Maître de conférences or Chargé de recherche","","No","No","Yes","","70","5","20","5","0",,,"Yes","90","76","91","No","No","Yes","Yes","No","Yes","No","No","No","90","100","No","I am not familiar with it","I am not familiar with it","I haven't used it yet, but I plan to do it in the future","I know it and I used it","I haven't used it yet, and I don't plan to do it in the future","I know it and I used it","I haven't used it yet, and I don't plan to do it in the future","I am not familiar with it","No","Yes","Yes","Yes","No","No","No","Yes","No","No","No","No","No","No","Drastic change of the editing system","32","90","No","Yes","Yes","Yes","No","No","No","","","1","","","1","","","1","","1","","","","1","","1","","","1","","","1","","","82","17","29","79","63","50","89","69","81","81","50","80","63","762.36","70.3",,,"297.06",,,,,,,,,,,,,,,,,,,,,"203.02",,,,,,"89.44",,,,,,"59.69",,,,,,,"16.83",,,"26.02",
"253","2025-03-27 09:03:59","7","en","2049273573","2025-03-27 08:52:28","2025-03-27 09:03:59","Yes, I am involved in research","Yes, I agree to participate in the study","32","Female","","3","Between 1 year and 2 years","France","CNRS","Physical Sciences & Engineering","Robotics","PhD","","2017","Permanent position","","Assistant Professor/Lecturer/Maître de conférences or Chargé de recherche","","No","No","Yes","","20","0","50","10","20",,,"Yes","60","70","90","Yes","No","Yes","Yes","No","No","No","No","No","80","100","Yes","I am not familiar with it","I am not familiar with it","I haven't used it yet, but I plan to do it in the future","I haven't used it yet, but I plan to do it in the future","I haven't used it yet, but I plan to do it in the future","I know it and I used it","I haven't used it yet, and I don't plan to do it in the future","I haven't used it yet, but I plan to do it in the future","No","No","Yes","No","No","No","No","No","Yes","No","No","No","No","No","","60","80","No","Yes","Yes","No","Yes","No","No","","","1","","1","","","1","","","","1","","","1","","1","","","","1","","","","1","100","70","55","100","80","100","90","100","60","80","30","50","60","694.29","55.16",,,"294.03",,,,,,,,,,,,,,,,,,,,,"164.51",,,,,,"103.83",,,,,,"28.76",,,,,,,"21.13",,,"26.87",
"254","2025-03-27 09:33:30","7","en","1010992298","2025-03-27 08:57:34","2025-03-27 09:33:30","Yes, I am involved in research","Yes, I agree to participate in the study","53","Male","","I have no children",,"France","CNRS","Social Sciences & Humanities","Cognitive science","PhD","","1996","Permanent position","","Associate Professor/Senior Lecturer/Maître de conférences or Chargé de recherche with Habilitation à diriger des recherches","","No","No","Yes","","95","0","5","0","0",,,"Yes","75","90","90","Yes","No","Yes","No","No","No","No","Yes","No","80","50","No","I haven't used it yet, but I plan to do it in the future","I haven't used it yet, but I plan to do it in the future","I know it and I used it","I know it and I used it","I haven't used it yet, but I plan to do it in the future","I haven't used it yet, but I plan to do it in the future","I haven't used it yet, but I plan to do it in the future","I haven't used it yet, but I plan to do it in the future","No","No","No","No","No","No","No","No","No","No","No","No","Yes","Yes","","0","0","No","No","Yes","No","Yes","No","Yes","","1","","","","","1","1","1","","1","1","","1","1","","1","1","","","","1","1","1","","50","50","0","50","25","50","50","50","90","90","100","100","0","2160.21","30.34",,,"274.98",,,,,,,,,,,,,,,,,,,,,"254.79",,,,,,"1383.68",,,,,,"92.35",,,,,,,"46.56",,,"77.51",
"256","2025-03-27 13:08:09","7","en","1415112149","2025-03-27 12:56:54","2025-03-27 13:08:09","Yes, I am involved in research","Yes, I agree to participate in the study","45","Female","","1","Between 6 months and 1 year","France","Grenoble-INP UGA","Social Sciences & Humanities","Cognitive sciences, language sciences, speech sciences","PhD","","2002","Permanent position","","Assistant Professor/Lecturer/Maître de conférences or Chargé de recherche","","No","No","Yes","","10","50","30","10","0",,,"Yes","25","75","80","No","No","Yes","No","No","No","Yes","Yes","No","60","50","No","I haven't used it yet, but I plan to do it in the future","I am not familiar with it","I haven't used it yet, but I plan to do it in the future","I haven't used it yet, but I plan to do it in the future","I know it and I used it","I know it and I used it","I haven't used it yet, but I plan to do it in the future","I know it and I used it","No","Yes","No","No","Yes","Yes","Yes","No","No","No","Yes","No","No","No","","0","0","No","Yes","No","Yes","No","No","Yes","","","1","","","1","","","1","","","1","","","1","","","1","","","1","","","1","","75","50","70","60","60","80","75","100","25","50","0","25","75","676.94","45.21",,,"269.92",,,,,,,,,,,,,,,,,,,,,"140.65",,,,,,"102.88",,,,,,"57",,,,,,,"27.26",,,"34.02",
"259","2025-03-27 19:19:11","7","en","615858373","2025-03-27 19:03:13","2025-03-27 19:19:11","Yes, I am involved in research","Yes, I agree to participate in the study","42","Male","","2","Less than 2 weeks","Netherlands","Leiden University","Social Sciences & Humanities","Science studies","PhD","","2005","Permanent position","","Full Professor/Directeur de recherche","","No","Yes","No","","30","5","40","25","0",,,"Yes","90","100","80","No","Yes","Yes","No","No","Yes","No","No","No","100","80","Yes","I know it and I used it","I haven't used it yet, and I don't plan to do it in the future","I know it and I used it","I know it and I used it","I know it and I used it","I know it and I used it","I haven't used it yet, and I don't plan to do it in the future","I know it and I used it","No","Yes","No","Yes","No","No","No","No","Yes","Yes","No","Yes","No","No","","0","0","No","No","No","No","No","No","No","I don't know what slow science means, so I cannot define it","","","1","","","1","","","1","1","1","","1","1","","1","1","","","","1","","","1","75","0","0","100","100","100","25","75","90","90","100","100","10","962.26","19.51",,,"334.48",,,,,,,,,,,,,,,,,,,,,"325.89",,,,,,"134.64",,,,,,"56.3",,,,,,,"44.18",,,"47.26",
"261","2025-03-27 21:35:52","7","en","94342217","2025-03-27 21:23:16","2025-03-27 21:35:52","Yes, I am involved in research","Yes, I agree to participate in the study","36","Female","","I have no children",,"Spain","","Social Sciences & Humanities","Psychology/Behavioural genetics","PhD","","2012","Researcher/lecturer (fixed term)","",,,"No","No","Yes","","40","15","10","10","25",,,"Yes",,"82","88","No","No","Yes","Yes","No","Yes","No","No","No","76","91","Yes","I haven't used it yet, but I plan to do it in the future","I haven't used it yet, but I plan to do it in the future","I know it and I used it","I know it and I used it","I haven't used it yet, but I plan to do it in the future","I know it and I used it","I know it and I used it","I know it and I used it","No","Yes","Yes","Yes","Yes","No","No","No","Yes","No","No","No","No","No","","38","50","No","Yes","Yes","Yes","No","No","No","","","1","","","1","","1","1","","1","1","","","1","","","1","","1","1","","","1","","68","39","26","92","83","62","74","82","84","84","57","65","73","757.58","209.66",,,"188.9",,,,,,,,,,,,,,,,,,,,,"122.67",,,,,,"156.55",,,,,,"41.56",,,,,,,"14.13",,,"24.11",
"266","2025-03-28 10:57:03","7","en","111338998","2025-03-28 10:48:09","2025-03-28 10:57:03","Yes, I am involved in research","Yes, I agree to participate in the study","39","Female","","I have no children",,"Italy","","Social Sciences & Humanities","SH4","PhD","","2011","Researcher/lecturer (fixed term)","",,,"No","No","Yes","","20","20","35","5","20",,,"Yes",,"70","70","Yes","Yes","Yes","No","No","No","No","No","No","90","90","Yes","I haven't used it yet, but I plan to do it in the future","I haven't used it yet, but I plan to do it in the future","I know it and I used it","I know it and I used it","I know it and I used it","I know it and I used it","I haven't used it yet, and I don't plan to do it in the future","I haven't used it yet, and I don't plan to do it in the future","No","No","No","No","Yes","No","Yes","No","No","No","No","No","No","No","","75","74","No","Yes","No","Yes","Yes","No","No","","","1","","","1","","","1","","","1","","","1","","","1","","","","1","","","1","40","41","42","45","1","78","72","84","82","100","20","68","15","536.47","24.03",,,"160.27",,,,,,,,,,,,,,,,,,,,,"111.66",,,,,,"114.32",,,,,,"40.93",,,,,,,"31.76",,,"53.5",
"270","2025-03-28 11:45:07","7","en","2050455687","2025-03-28 11:35:28","2025-03-28 11:45:07","Yes, I am involved in research","Yes, I agree to participate in the study","31","Female","","I have no children",,"Spain","Universitat Autònoma de Barcelona ; Hospital del Mar Research Institute","Life Sciences","Cognitive neuroscience","PhD","","2018","Postdoc (fixed term)","",,,"No","No","Yes","","70","0","10","5","15","Yes","30","Yes",,"70","90","Yes","Yes","Yes","No","No","No","No","No","No","30","70","No","I haven't used it yet, but I plan to do it in the future","I haven't used it yet, but I plan to do it in the future","I am not familiar with it","I am not familiar with it","I am not familiar with it","I haven't used it yet, but I plan to do it in the future","I haven't used it yet, but I plan to do it in the future","I haven't used it yet, but I plan to do it in the future","Yes","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","","0","50","No","No","No","No","No","No","No","I don't know about it","","1","","","1","","","1","","1","","","","1","","","1","","","1","","","1","","65","20","55","15","60","70","80","80","90","75","100","90","90","580.59","50.66",,,"262.8",,,,,,,,,,,,,,,,,,,,,"94.2",,,,,,"52.29",,,,,,"74.53",,,,,,,"17.98",,,"28.13",
"275","2025-03-28 12:48:46","7","en","2130711740","2025-03-28 12:40:36","2025-03-28 12:48:46","Yes, I am involved in research","Yes, I agree to participate in the study","37","Male","","1","I did not take any parental leave","Germany","University of Tübingen","Life Sciences","Psychology","PhD","","2015","Other","officially unemployed but continue working",,,"No","No","Yes","","75","0","5","0","20",,,"Yes",,"66","31","No","Yes","No","No","No","Yes","Yes","No","No","100","74","Yes","I know it and I used it","I know it and I used it","I know it and I used it","I know it and I used it","I know it and I used it","I know it and I used it","I know it and I used it","I know it and I used it","No","No","No","No","Yes","No","No","Yes","Yes","No","No","No","No","No","","78","0","No","Yes","No","Yes","No","Yes","No","","","","1","1","","","","","1","","","1","1","1","","","1","","","","1","","","1","0","0","0","0","0","0","0","0","79","79","82","74","100","492.98","19.53",,,"210.28",,,,,,,,,,,,,,,,,,,,,"97.8",,,,,,"102.48",,,,,,"25.6",,,,,,,"11.23",,,"26.06",
"281","2025-03-28 12:59:53","7","en","282705129","2025-03-28 12:51:58","2025-03-28 12:59:53","Yes, I am involved in research","Yes, I agree to participate in the study","28","Female","","I have no children",,"France","","Social Sciences & Humanities","Neurocognitive science","PhD","","2020","Researcher/lecturer (fixed term)","",,,"No","No","Yes","","15","45","15","10","15",,,"Yes",,"30","85","Yes","No","Yes","Yes","No","No","No","No","No","85","75","Yes","I haven't used it yet, but I plan to do it in the future","I haven't used it yet, but I plan to do it in the future","I know it and I used it","I haven't used it yet, but I plan to do it in the future","I know it and I used it","I know it and I used it","I haven't used it yet, but I plan to do it in the future","I haven't used it yet, but I plan to do it in the future","No","No","No","No","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","","0","0","No","No","No","No","No","No","No","I do not know about Slow Science.","","1","","","1","","","1","","","1","","","1","","","1","","","","1","","","1","60","60","70","60","60","100","20","100","60","60","15","35","75","467.54","33.46",,,"166.42",,,,,,,,,,,,,,,,,,,,,"98.13",,,,,,"81.77",,,,,,"42.64",,,,,,,"17.59",,,"27.53",
"283","2025-03-28 13:06:05","7","en","524534723","2025-03-28 12:54:38","2025-03-28 13:06:05","Yes, I am involved in research","Yes, I agree to participate in the study","45","Male","","2","Between 2 weeks and 1 month","France","IMT Mines Alès","Physical Sciences & Engineering","Computer science","PhD","","2010","Permanent position","","Assistant Professor/Lecturer/Maître de conférences or Chargé de recherche","","No","Yes","No","Teavching","30","40","20","5","5",,,"Yes","79","32","36","No","Yes","No","No","Yes","Yes","No","No","No","78","81","No","I am not familiar with it","I am not familiar with it","I know it and I used it","I know it and I used it","I know it and I used it","I know it and I used it","I know it and I used it","I haven't used it yet, but I plan to do it in the future","No","No","No","Yes","Yes","No","No","No","No","Yes","Yes","No","No","No","","0","0","No","Yes","Yes","No","No","Yes","No","","1","1","","1","1","","1","","","1","","","1","","","1","1","","1","","","1","1","","35","5","38","15","34","40","78","100","72","77","32","78","63","690.18","44.12",,,"275.92",,,,,,,,,,,,,,,,,,,,,"132.65",,,,,,"116.31",,,,,,"46.35",,,,,,,"34.52",,,"40.31",
"284","2025-03-28 13:24:32","7","en","1968410339","2025-03-28 13:04:07","2025-03-28 13:24:32","Yes, I am involved in research","Yes, I agree to participate in the study","25","Female","","I have no children",,"France","Université Paris Cité","Social Sciences & Humanities","Neurosciences cognitives ","Master","","2023","PhD candidate (scholarship, other funding)","",,,"No","No","No","Chargée de TD ","20","10","30","40","0","I don't know","51","Yes",,"1","68","No","Yes","No","No","No","Yes","Yes","No","No","100","100","No","I am not familiar with it","I am not familiar with it","I am not familiar with it","I know it and I used it","I know it and I used it","I haven't used it yet, but I plan to do it in the future","I haven't used it yet, but I plan to do it in the future","I haven't used it yet, but I plan to do it in the future","No","Yes","No","No","No","No","No","No","No","Yes","Yes","No","No","No","","85","100","No","Yes","Yes","No","No","Yes","No","","","1","","","1","","1","","","","1","","1","","","","","1","","1","","","1","","63","96","0","0","78","100","0","100","17","13","10","100","32","1228.63","15.35",,,"540.09",,,,,,,,,,,,,,,,,,,,,"162.73",,,,,,"234.84",,,,,,"87.11",,,,,,,"74.54",,,"113.97",
"287","2025-03-28 13:49:01","7","en","1400807959","2025-03-28 13:40:51","2025-03-28 13:49:01","Yes, I am involved in research","Yes, I agree to participate in the study","26","Male","","I have no children",,"France","University of Montpellier","Life Sciences","Human movement science","Master","","2024","PhD candidate (scholarship, other funding)","",,,"No","No","Yes","","75","0","5","10","10","No",,"No",,,,"Yes","No","Yes","No","No","No","No","Yes","No","25","50","No","I haven't used it yet, but I plan to do it in the future","I haven't used it yet, but I plan to do it in the future","I know it and I used it","I know it and I used it","I haven't used it yet, but I plan to do it in the future","I haven't used it yet, but I plan to do it in the future","I know it and I used it","I know it and I used it","No","No","No","Yes","No","No","No","No","No","No","Yes","No","No","No","","0","0","No","Yes","Yes","No","No","Yes","No","","1","1","","1","1","","1","1","","","1","","","1","","1","1","","1","1","","1","1","","70","70","60","50","80","70","100","100","75","90","85","90","50","492.75","19.55",,,"139.29",,,,,,,,,,,,,,,,,,,,,"116.18",,,,,,"78.9",,,,,,"70.19",,,,,,,"15.62",,,"53.02",
"288","2025-03-28 13:52:31","7","en","301315232","2025-03-28 13:40:59","2025-03-28 13:52:31","Yes, I am involved in research","Yes, I agree to participate in the study","59","Female","","2","Between 3 months and 6 months","France","CNRS","Life Sciences","LS5","PhD","","1993","Permanent position","","Associate Professor/Senior Lecturer/Maître de conférences or Chargé de recherche with Habilitation à diriger des recherches","","No","Yes","No","","44","1","50","5","0",,,"Yes","50","50","50","Yes","Yes","No","No","No","No","Yes","No","No","100","80","No","I am not familiar with it","I am not familiar with it","I haven't used it yet, but I plan to do it in the future","I haven't used it yet, but I plan to do it in the future","I know it and I used it","I know it and I used it","I am not familiar with it","I haven't used it yet, but I plan to do it in the future","No","No","Yes","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","","0","0","No","Yes","Yes","No","No","No","Yes","","","1","","","1","","1","1","","1","1","","","1","","1","","","","1","","","","1","80","50","20","24","50","50","50","75","100","93","21","22","69","695.25","18.14",,,"303.49",,,,,,,,,,,,,,,,,,,,,"159.31",,,,,,"110.69",,,,,,"48.65",,,,,,,"23.73",,,"31.24",
"289","2025-03-28 14:17:16","7","en","2032870195","2025-03-28 13:51:16","2025-03-28 14:17:16","Yes, I am involved in research","Yes, I agree to participate in the study","27","Female","","I have no children",,"USA","Northwestern University","Social Sciences & Humanities","Clinical Psychology","PhD","","2020","Postdoc (fixed term)","",,,"No","No","Yes","","90","0","0","0","10","Yes","90","Yes",,"73","37","Yes","No","Yes","No","Yes","No","No","No","No","71","100","Yes","I haven't used it yet, but I plan to do it in the future","I haven't used it yet, but I plan to do it in the future","I know it and I used it","I know it and I used it","I haven't used it yet, but I plan to do it in the future","I know it and I used it","I haven't used it yet, but I plan to do it in the future","I haven't used it yet, but I plan to do it in the future","No","No","No","No","No","Yes","No","No","Yes","Yes","No","Yes","No","No","","36","23","No","Yes","Yes","Yes","No","No","No","","","1","","","","1","","1","","1","1","","1","1","","1","1","","","","1","","1","","76","50","74","100","100","84","100","73","91","82","100","37","87","1562.73","555.85",,,"150.55",,,,,,,,,,,,,,,,,,,,,"71.48",,,,,,"71.21",,,,,,"669.8",,,,,,,"24.3",,,"19.54",
"302","2025-03-28 17:20:42","7","en","1180245751","2025-03-28 17:02:12","2025-03-28 17:20:42","Yes, I am involved in research","Yes, I agree to participate in the study","52","Female","","2","Between 3 months and 6 months","France","Institut Mines Télécom","Physical Sciences & Engineering","Computer science","Other","HDR","1997","Permanent position","","Full Professor/Directeur de recherche","","No","Yes","No","","5","25","40","10","20",,,"Yes","75","25","80","Yes","No","Yes","Yes","No","No","No","No","No","70","75","No","I know it and I used it","I haven't used it yet, but I plan to do it in the future","I know it and I used it","I know it and I used it","I know it and I used it","I haven't used it yet, but I plan to do it in the future","I know it and I used it","I know it and I used it","No","No","No","No","Yes","No","No","No","Yes","Yes","No","No","No","No","","0","0","No","Yes","Yes","No","Yes","No","No","","","","1","1","","","","1","","","1","","","1","","","","1","","1","","","","1","80","80","40","74","50","75","49","75","50","75","0","20","0","1113.46","76.17",,,"374.14",,,,,,,,,,,,,,,,,,,,,"227.27",,,,,,"180.7",,,,,,"83.77",,,,,,,"84.7",,,"86.71",
"307","2025-03-29 16:42:10","7","en","1685601445","2025-03-29 16:25:30","2025-03-29 16:42:10","Yes, I am involved in research","Yes, I agree to participate in the study","62","Male","","3","I did not take any parental leave","France","Université de Montpellier","Social Sciences & Humanities","Psychology","Other","Habilitation to Direct Research","1994","Researcher/lecturer (fixed term)","",,,"No","No","Yes","","20","30","45","3","2",,,"Yes",,"80","80","Yes","Yes","No","No","Yes","No","No","No","No","60","100","Yes","I haven't used it yet, but I plan to do it in the future","I haven't used it yet, and I don't plan to do it in the future","I haven't used it yet, and I don't plan to do it in the future","I haven't used it yet, and I don't plan to do it in the future","I haven't used it yet, and I don't plan to do it in the future","I know it and I used it","I haven't used it yet, and I don't plan to do it in the future","I am not familiar with it","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","","10","100","No","Yes","No","Yes","No","Yes","No","","1","1","","","","1","1","1","","1","1","","1","1","","","","1","1","1","","","","1","60","0","10","50","0","40","30","20","100","100","0","75","10","1004.34","15.35",,,"432.06",,,,,,,,,,,,,,,,,,,,,"213.68",,,,,,"163.9",,,,,,"83.84",,,,,,,"49.42",,,"46.09",
"309","2025-03-30 10:01:41","7","en","1646355641","2025-03-30 09:52:29","2025-03-30 10:01:41","Yes, I am involved in research","Yes, I agree to participate in the study","22","Male","","I have no children",,"France","Université de Caen Normandie","Social Sciences & Humanities","Neurosciences","Master","","NA","Master student/Research assistant","",,,"No","No","Yes","","95","0","0","0","5","Yes","7","No",,,,"No","No","Yes","Yes","No","No","Yes","No","No","0","0","No","I am not familiar with it","I know it and I used it","I know it and I used it","I know it and I used it","I am not familiar with it","I am not familiar with it","I am not familiar with it","I am not familiar with it","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","","0","0","No","Yes","No","No","No","No","No","","1","1","","1","","","1","1","","1","","","1","1","","1","","","1","1","","","1","","76","73","0","0","79","79","77","80","100","100","100","100","70","554.98","75.49",,,"159.68",,,,,,,,,,,,,,,,,,,,,"102.62",,,,,,"116.36",,,,,,"41.08",,,,,,,"34.24",,,"25.51",
"310","2025-03-30 13:59:14","7","en","972604511","2025-03-30 13:45:06","2025-03-30 13:59:14","Yes, I am involved in research","Yes, I agree to participate in the study","60","Male","","2","Between 2 weeks and 1 month","France","IMT Mines Alès","Physical Sciences & Engineering","Computer science and informatics","PhD","","1990","Permanent position","","Full Professor/Directeur de recherche","","No","No","Yes","","20","40","30","10","0",,,"Yes","10","0","100","Yes","No","Yes","No","No","Yes","No","No","No","100","100","Yes","I know it and I used it","I haven't used it yet, but I plan to do it in the future","I know it and I used it","I know it and I used it","I know it and I used it","I know it and I used it","I haven't used it yet, but I plan to do it in the future","I haven't used it yet, but I plan to do it in the future","No","No","No","No","Yes","Yes","Yes","No","No","No","No","No","No","No","","0","0","No","Yes","No","No","No","No","Yes","","","1","","","1","","","1","","","1","","","1","","","1","","","1","","","1","","50","50","70","100","65","100","75","75","65","25","25","25","100","850.51","15.6",,,"560.1",,,,,,,,,,,,,,,,,,,,,"92.97",,,,,,"79.73",,,,,,"33.5",,,,,,,"27.47",,,"41.14",
"316","2025-03-31 10:15:30","7","en","2124857842","2025-03-31 10:09:53","2025-03-31 10:15:30","Yes, I am involved in research","Yes, I agree to participate in the study","37","Male","","I have no children",,"FRANCE","IRD","Social Sciences & Humanities","SUSTAINABILITY SCIENCE","PhD","","2010","Permanent position","","Full Professor/Directeur de recherche","","No","Yes","No","","30","10","40","20","0",,,"Yes","50","100","25","No","No","Yes","Yes","No","Yes","No","No","No","74","79","No","I know it and I used it","I haven't used it yet, but I plan to do it in the future","I know it and I used it","I know it and I used it","I know it and I used it","I know it and I used it","I haven't used it yet, but I plan to do it in the future","I haven't used it yet, but I plan to do it in the future","No","No","No","Yes","Yes","No","No","Yes","No","No","Yes","No","No","No","","69","76","No","Yes","Yes","No","No","No","Yes","","","1","","","1","","","1","","","1","","","1","","","1","","","1","","","1","","68","73","36","37","63","77","76","83","37","37","10","16","27","340.96","25.6",,,"156",,,,,,,,,,,,,,,,,,,,,"57.07",,,,,,"52.42",,,,,,"22.23",,,,,,,"12.76",,,"14.88",
